Italiano,English,Part
fronte,front,Noun
conto,bill,Noun
corpo,body,Noun
numero,number,Noun
ministro,minister,Noun
problema,problem,Noun
chiesa,church,Noun
braccio,arm,Noun
bambino,child,Noun
pensiero,thought,Noun
pace,peace,Noun
morte,death,Noun
fine,end,Noun
forma,form,Noun
resto,rest,Noun
popolo,people,Noun
società,society,Noun
studio,study,Noun
legge,law,Noun
libro,book,Noun
figlia,daughter,Noun
resto,rest,Noun
luogo,place,Noun
condizione,condition,Noun
professore,teacher,Noun
marito,husband,Noun
verità,truth,Noun
segno,sign,Noun
diritto,right,Noun
lettera,letter,Noun
ragazza,girl,Noun
scuola,school,Noun
camera,room,Noun
gruppo,group,Noun
discorso,speech,Noun
centro,center,Noun
secolo,century,Noun
mezzo,half,Noun
tipo,guy,Noun
colpa,fault,Noun
rispetto,respect,Noun
scena,scene,Noun
oggetto,object,Noun
possibilità,possibility,Noun
mamma,mom,Noun
presenza,presence,Noun
teatro,theater,Noun
caffè,coffee,Noun
principio,principle,Noun
termine,term,Noun
lingua,tongue,Noun
pezzo,piece,Noun
capello,hair,Noun
regione,region,Noun
monte,Mountain,Noun
università,university,Noun
treno,train,Noun
inverno,winter,Noun
nazione,nation,Noun
pagina,page,Noun
scopo,purpose,Noun
compagno,partner,Noun
necessità,need,Noun
potere,power,Noun
musica,music,Noun
dottore,doctor,Noun
sentimento,feeling,Noun
nave,ship,Noun
pietra,Stone,Noun
produzione,production,Noun
speranza,hope,Noun
dolore,ache,Noun
carne,meat,Noun
generale,general,Noun
proposito,purpose,Noun
elemento,element,Noun
stazione,railway station,Noun
materia,matter,Noun
scala,ladder,Noun
maniera,way,Noun
arma,weapon,Noun
autorità,authority,Noun
gamba,leg,Noun
patria,homeland,Noun
albergo,hotel,Noun
gioia,joy,Noun
argomento,topic,Noun
sguardo,look,Noun
relazione,report,Noun
classe,class,Noun
battaglia,battle,Noun
viso,face,Noun
gesto,gesture,Noun
mattino,morning,Noun
opinione,opinion,Noun
ponte,bridge,Noun
sorriso,smile,Noun
frase,phrase,Noun
limite,limit,Noun
ritorno,return,Noun
bosco,wood,Noun
esame,exam,Noun
lato,side,Noun
operazione,operation,Noun
pranzo,lunch,Noun
costa,it costs,Noun
prato,meadow,Noun
repubblica,republic,Noun
valle,Valley,Noun
nord,north,Noun
fatica,fatigue,Noun
odore,smell,Noun
articolo,article,Noun
costruzione,construction,Noun
rivoluzione,Revolution,Noun
zia,aunt,Noun
confronto,comparison,Noun
potenza,power,Noun
sforzo,effort,Noun
sicurezza,safety,Noun
ufficiale,official,Noun
crisi,crisis,Noun
cucina,kitchen,Noun
gatto,cat,Noun
pietà,pity,Noun
territorio,territory,Noun
attimo,moment,Noun
civiltà,civilization,Noun
contatto,contact,Noun
errore,error,Noun
fretta,hurry,Noun
intenzione,intention,Noun
cultura,culture,Noun
giudizio,judgement,Noun
spesa,expense,Noun
aiuto,Help,Noun
ambiente,environment,Noun
animo,mind,Noun
bestia,beast,Noun
cortile,courtyard,Noun
pelle,skin,Noun
proposta,proposal,Noun
riva,shore,Noun
segretario,secretary,Noun
abito,dress,Noun
chiave,key,Noun
corrente,current,Noun
operaio,worker,Noun
corso,course,Noun
finestra,window,Noun
arte,art,Noun
sistema,system,Noun
piano,plan,Noun
bocca,mouth,Noun
anima,soul,Noun
palazzo,palace,Noun
passo,step,Noun
giornata,day,Noun
servizio,service,Noun
rapporto,relationship,Noun
milione,million,Noun
stanza,room,Noun
valore,value,Noun
colpo,blow,Noun
sangue,blood,Noun
interesse,interest,Noun
spalla,shoulder,Noun
silenzio,silence,Noun
signorina,young lady,Noun
ombra,shadow,Noun
azione,action,Noun
vento,wind,Noun
mattina,morning,Noun
colore,color,Noun
presidente,president,Noun
consiglio,Advice,Noun
principe,prince,Noun
viaggio,travel,Noun
genere,kind,Noun
giornale,newspaper,Noun
spirito,spirit,Noun
cavallo,horse,Noun
muro,Wall,Noun
situazione,situation,Noun
linea,line,Noun
giro,round,Noun
automobile,car,Noun
atto,act,Noun
aspetto,appearance,Noun
età,age,Noun
fortuna,luck,Noun
oro,gold,Noun
partito,party,Noun
macchina,machine,Noun
carta,paper,Noun
minuto,minute,Noun
tratto,stretch,Noun
settimana,week,Noun
notizia,news,Noun
fratello,brother,Noun
realtà,reality,Noun
industria,industry,Noun
piacere,pleasure,Noun
maestro,master,Noun
personaggio,character,Noun
pomeriggio,afternoon,Noun
fianco,side,Noun
bambina,child,Noun
bellezza,beauty,Noun
domanda,question,Noun
pianta,plant,Noun
pubblico,public,Noun
sede,seat,Noun
affare,deal,Noun
bene,well,Noun
metà,half,Noun
papà,Pope,Noun
fiume,river,Noun
lotta,fight,Noun
mercato,market,Noun
angolo,angle,Noun
compagnia,company,Noun
espressione,expression,Noun
labbro,lip,Noun
villa,villa,Noun
desiderio,desire,Noun
serie,series,Noun
visita,visit,Noun
coraggio,courage,Noun
direttore,director,Noun
esercito,army,Noun
grado,degree,Noun
padrone,master,Noun
risposta,reply,Noun
tavola,table,Noun
immagine,image,Noun
montagna,mountain,Noun
energia,power,Noun
fede,wedding ring,Noun
pane,bread,Noun
seguito,following,Noun
estate,summer,Noun
film,movie,Noun
frutto,fruit,Noun
onore,honor,Noun
pericolo,danger,Noun
scrittore,writer,Noun
collina,hill,Noun
zio,uncle,Noun
difesa,defence,Noun
metro,meter,Noun
collo,neck,Noun
cura,care,Noun
disposizione,layout,Noun
Domenica,Sunday,Noun
giovanotto,young man,Noun
poeta,poet,Noun
stagione,season,Noun
peso,weight,Noun
tono,tone,Noun
croce,cross,Noun
decisione,decision,Noun
poesia,poetry,Noun
fiducia,confidence,Noun
filo,wire,Noun
folla,crowd,Noun
qualità,quality,Noun
roba,stuff,Noun
conoscenza,knowledge,Noun
favore,favor,Noun
popolazione,population,Noun
strumento,tool,Noun
uso,use,Noun
vestito,dress,Noun
commercio,business,Noun
fabbrica,factory,Noun
giugno,June,Noun
giustizia,justice,Noun
avvocato,lawyer,Noun
messa,mass,Noun
orecchio,ear,Noun
sonno,sleep,Noun
congresso,congress,Noun
porto,port,Noun
calcio,football,Noun
fantasia,fantasy,Noun
matrimonio,marriage,Noun
medico,doctor,Noun
ospedale,Hospital,Noun
pianura,flat land,Noun
tavolo,table,Noun
fame,hunger,Noun
latte,milk,Noun
merito,merit,Noun
attore,actor,Noun
ricchezza,wealth,Noun
sacrificio,sacrifice,Noun
atteggiamento,attitude,Noun
concetto,concept,Noun
mestiere,craft,Noun
attesa,waiting,Noun
bagno,bathroom,Noun
foglia,leaf,Noun
istante,instant,Noun
lago,lake,Noun
questo,this,Noun
quello,one,Noun
più,more,Adjective
tutto,all,Adjective
suo,his,Adjective
altro,other,Adjective
mio,my,Adjective
quale,which,Adjective
tanto,much,Adjective
grande,great,Adjective
poco,little,Adjective
molto,very,Adjective
nostro,our,Adjective
stesso,same,Adjective
primo,first,Adjective
loro,their,Adjective
ogni,every,Adjective
proprio,own,Adjective
solo,only,Adjective
quanto,how much,Adjective
bello,beautiful,Adjective
qualche,some,Adjective
nuovo,new,Adjective
certo,of course,Adjective
vero,true,Adjective
buono,good,Adjective
tuo,your,Adjective
nessuno,nobody,Adjective
alcuno,any,Adjective
italiano,Italian,Adjective
ultimo,last,Adjective
vecchio,old,Adjective
piccolo,small,Adjective
troppo,too much,Adjective
tale,such,Adjective
giovane,young,Adjective
alto,tall,Adjective
vostro,your,Adjective
diverso,different,Adjective
meglio,better,Adjective
lungo,long,Adjective
povero,poor,Adjective
maggiore,greater,Adjective
mezzo,half,Adjective
secondo,second,Adjective
lontano,far,Adjective
vicino,close,Adjective
possibile,possible,Adjective
caro,Dear,Adjective
pieno,full,Adjective
nero,black,Adjective
particolare,particular,Adjective
bianco,white,Adjective
forte,strong,Adjective
politico,politic,Adjective
attuale,current,Adjective
current,Latin,Adjective
impossibile,impossible,Adjective
sereno,serene,Adjective
puro,pure,Adjective
normale,normal,Adjective
perfetto,perfect,Adjective
piano,plan,Adjective
caratteristico,characteristic,Adjective
russo,Russian,Adjective
continuo,continuous,Adjective
stupido,stupid,Adjective
estremo,extreme,Adjective
grigio,Grey,Adjective
reale,real,Adjective
interessante,interesting,Adjective
medesimo,same,Adjective
religioso,religious,Adjective
ampio,large,Adjective
biondo,blond,Adjective
ufficiale,official,Adjective
attento,careful,Adjective
enorme,huge,Adjective
sottile,thin,Adjective
triste,sad,Adjective
minimo,minimum,Adjective
privato,private,Adjective
rapido,rapid,Adjective
quarto,fourth,Adjective
diretto,direct,Adjective
nobile,noble,Adjective
pericoloso,dangerous,Adjective
giallo,yellow,Adjective
pazzo,crazy,Adjective
sacro,sacred,Adjective
comodo,comfortable,Adjective
elettrico,electric,Adjective
assoluto,absolute,Adjective
cristiano,Christian,Adjective
antico,ancient,Adjective
rosso,red,Adjective
chiaro,clear,Adjective
unico,single,Adjective
sicuro,sure,Adjective
importante,important,Adjective
vario,varied,Adjective
giusto,quite right,Adjective
francese,French,Adjective
vivo,I live,Adjective
generale,general,Adjective
ricco,rich,Adjective
grosso,big,Adjective
necessario,necessary,Adjective
libero,free,Adjective
nazionale,national,Adjective
basso,bass,Adjective
semplice,simple,Adjective
grave,serious,Adjective
pubblico,public,Adjective
comune,common,Adjective
freddo,cold,Adjective
economico,cheap,Adjective
felice,happy,Adjective
difficile,difficult,Adjective
tedesco,German,Adjective
breve,short,Adjective
pronto,ready,Adjective
serio,serious,Adjective
presente,here I’m,Adjective
migliore,best,Adjective
facile,easy,Adjective
terzo,third,Adjective
caldo,hot,Adjective
estero,abroad,Adjective
largo,wide,Adjective
pricipale,pricipale,Adjective
verde,green,Adjective
romano,Roman,Adjective
umano,human,Adjective
inutile,useless,Adjective
moderno,modern,Adjective
numeroso,numerous,Adjective
simile,similar,Adjective
fresco,fresh,Adjective
militare,military,Adjective
americano,American,Adjective
vuoto,empty,Adjective
ciascuno,each,Adjective
tranquillo,quiet,Adjective
contento,happy,Adjective
storico,historical,Adjective
superiore,higher,Adjective
inglese,English,Adjective
fermo,stationary,Adjective
solito,usual,Adjective
buio,dark,Adjective
strano,strange,Adjective
noto,known,Adjective
prossimo,next one,Adjective
profondo,deep,Adjective
sociale,social,Adjective
cattivo,bad,Adjective
massimo,maximum,Adjective
intero,full,Adjective
uguale,equal,Adjective
bravo,good boy,Adjective
brutto,ugly,Adjective
preciso,accurate,Adjective
qualsiasi,any,Adjective
improvviso,sudden,Adjective
famoso,famous,Adjective
straniero,foreigner,Adjective
civile,civil,Adjective
internazionale,international,Adjective
interno,internal,Adjective
vasto,extensive,Adjective
segreto,secret,Adjective
greco,Greek,Adjective
naturale,natural,Adjective
sinistro,left,Adjective
duro,hard,Adjective
stanco,tired,Adjective
azzurro,light blue,Adjective
recente,recent,Adjective
notevole,remarkable,Adjective
cittadino,citizen,Adjective
destro,right,Adjective
europeo,European,Adjective
zitto,quiet,Adjective
medio,average,Adjective
qualunque,whatever,Adjective
straordinario,extraordinary,Adjective
nudo,naked,Adjective
futuro,future,Adjective
cattolico,Catholic,Adjective
capace,able,Adjective
industriale,industrial,Adjective
personale,staff,Adjective
centrale,central,Adjective
tecnico,technical,Adjective
dolce,sweet,Adjective
leggero,light,Adjective
morale,moral,Adjective
utile,helpful,Adjective
contrario,contrary,Adjective
speciale,special,Adjective
peggio,worse,Adjective
minore,lower,Adjective
contadino,farmer,Adjective
essere,to be,Verb
avere,to have,Verb
dire,to say,Verb
potere,can,Verb
volere,want,Verb
sapere,to know,Verb
stare,to stay,Verb
dovere,must,Verb
vedere,to see,Verb
andare,to go,Verb
venire,to come,Verb
dare,to give,Verb
parlare,to speak,Verb
trovare,to find,Verb
sentire,"to feel, to hear",Verb
lasciare,to leave,Verb
prendere,to take,Verb
guardare,to look,Verb
mettere,to put,Verb
pensare,to think,Verb
passare,to pass,Verb
credere,to believe,Verb
portare,to bring,Verb
parere,to seem,Verb
tornare,to return,Verb
sembrare,"to seem, to look like",Verb
tenere,to keep,Verb
capire,to understand,Verb
morire,to die,Verb
chiamare,to call,Verb
conoscere,to know,Verb
rimanere,to stay,Verb
chiedere,to ask,Verb
cercare,to search for,Verb
entrare,to come in,Verb
vivere,to live,Verb
aprire,to open,Verb
uscire,to go out,Verb
ricordare,to remember,Verb
bisognare,need,Verb
cominciare,to begin,Verb
rispondere,"to answer, to reply",Verb
aspettare,to wait,Verb
riuscire,to succeed,Verb
chiudere,to close,Verb
finire,to finish,Verb
arrivare,to arrive,Verb
scrivere,to write,Verb
diventare,to become,Verb
restare,to remain,Verb
seguire,to follow,Verb
bastare,to suffice,Verb
perdere,to lose,Verb
rendere,"to make (big, small..)",Verb
correre,to run,Verb
salvare,to save,Verb
vestire,to dress,Verb
costruire,to build,Verb
camminare,to walk,Verb
ritrovare,to find again,Verb
durare,to last,Verb
accendere,to turn on,Verb
evitare,to avoid,Verb
immaginare,to imagine,Verb
ridurre,to reduce,Verb
contenere,to contain,Verb
fissare,to fix,Verb
costringere,to force,Verb
abbandonare,to abandon,Verb
attendere,to wait for,Verb
preferire,to prefer,Verb
scegliere,to choose,Verb
avvertire,to warn,Verb
proporre,to propose,Verb
temere,to fear,Verb
esprimere,to express,Verb
spingere,to push,Verb
salutare,to greet,Verb
udire,to hear,Verb
difendere,to stick up for,Verb
dirigere,to direct,Verb
cantare,to sing,Verb
sorgere,to rise,Verb
assicurare,to ensure,Verb
assumere,to hire,Verb
tendere,to tend,Verb
dividere,to divide,Verb
scusare,to excuse,Verb
mantenere,to maintain,Verb
ritenere,to consider,Verb
concludere,to conclude,Verb
saltare,to jump,Verb
stabilire,to establish,Verb
appartenere,to belong,Verb
possedere,to possess,Verb
risultare,to result,Verb
suonare,to play,Verb
coprire,to cover up,Verb
insegnare,to teach,Verb
affermare,to assert,Verb
rivelare,to reveal,Verb
conservare,to preserve,Verb
risolvere,to solve,Verb
concedere,to grant,Verb
limitare,to limit,Verb
abitare,to live,Verb
convincere,to convince,Verb
comprare,to buy,Verb
legare,to tie,Verb
sostenere,to sustain,Verb
nascere,to be born,Verb
presentare,to introduce,Verb
trattare,to deal,Verb
piacere,to like,Verb
continuare,to continue,Verb
partire,to leave,Verb
servire,to serve,Verb
giungere,to stop,Verb
apparire,to appear,Verb
amare,to love,Verb
esistere,to exist,Verb
intendere,to hear,Verb
salire,to go up,Verb
mancare,to miss,Verb
ridere,to laugh,Verb
lavorare,to work,Verb
alzare,to raise up,Verb
riconoscere,to recognize,Verb
sedere,to sit down,Verb
leggere,to read,Verb
cadere,to fall,Verb
mangiare,to eat,Verb
dormire,to sleep,Verb
raggiungere,to reach,Verb
comprendere,to understand,Verb
scendere,to alight,Verb
compiere,to fulfill,Verb
toccare,to touch,Verb
considerare,to consider,Verb
muovere,to move,Verb
stringere,to tighten,Verb
mandare,to send,Verb
domandare,to ask,Verb
ascoltare,to listen,Verb
decidere,to decide,Verb
ricevere,to receive,Verb
osservare,to observe,Verb
permettere,to allow,Verb
avvenire,to occur,Verb
spiegare,to explain,Verb
raccogliere,to collect,Verb
ottenere,to obtain,Verb
offrire,to offer,Verb
mostrare,to exhibit,Verb
accompagnare,to accompany,Verb
dimenticare,to forget,Verb
pregare,to pray,Verb
raccontare,to tell,Verb
bere,to drinking,Verb
ritornare,to return,Verb
cambiare,to change,Verb
dimostrare,to demonstrate,Verb
sperare,to hope,Verb
sposare,to marry,Verb
ammettere,to admit,Verb
fuggire,to run away,Verb
liberare,to free,Verb
riferire,to report,Verb
svegliare,to wake up,Verb
capitare,to happen,Verb
posare,to place,Verb
impedire,to prevent,Verb
gettare,to throw,Verb
vendere,to sell,Verb
distinguere,to distinguish,Verb
offendere,to offend,Verb
rimettere,to return,Verb
rompere,to break,Verb
godere,to enjoy,Verb
imporre,to impose,Verb
significare,to mean,Verb
desiderare,to desire,Verb
divertire,to amuse,Verb
volgere,to turn,Verb
giudicare,to judge,Verb
produrre,to produce,Verb
avvicinare,to approach,Verb
diffondere,to spread,Verb
ordinare,to sort,Verb
invitare,to invite,Verb
discutere,to discuss,Verb
sbagliare,to make a mistake,Verb
badare,to look after,Verb
tagliare,to cut,Verb
pubblicare,to publish,Verb
attaccare,to attack,Verb
imparare,to learn,Verb
prevedere,to forecast,Verb
scappare,to run away,Verb
spegnere,to switch off,Verb
annunciare,to announce,Verb
baciare,to kiss,Verb
esporre,to expose,Verb
attraversare,go across,Verb
fornire,to provide,Verb
segnare,to mark,Verb
superare,to overcome,Verb
rivedere,to review,Verb
allontanare,to remove,Verb
ammazzare,to kill,Verb
accogliere,to receive,Verb
voltare,to turn,Verb
preoccupare,to worry,Verb
provocare,to cause,Verb
riempire,to fill,Verb
partecipare,to take part,Verb
piantare,to plant,Verb
rientrare,to re-enter,Verb
richiedere,to request,Verb
nascondere,to hide,Verb
ripetere,to repeat,Verb
scoprire,to discover,Verb
preparare,prepare,Verb
scorrere,to slide,Verb
rappresentare,to represent,Verb
riprendere,to resume,Verb
costituire,to constitute,Verb
incontrare,to meet,Verb
valere,be worth,Verb
accorgersi,to notice,Verb
provare,to try,Verb
formare,to form,Verb
uccidere,to kill,Verb
tirare,to pull,Verb
togliere,to remove,Verb
notare,to notice,Verb
aggiungere,to add,Verb
succedere,to happen,Verb
pagare,to pay,Verb
tentare,to attempt,Verb
accadere,to happen,Verb
creare,to create,Verb
importare,to import,Verb
pesare,to weigh,Verb
usare,to use,Verb
accettare,to accept,Verb
indicare,to indicate,Verb
buttare,to throw,Verb
battere,to beat,Verb
interessare,to interest,Verb
sorridere,to smile,Verb
condurre,to conduct,Verb
disporre,to have,Verb
unire,to merge,Verb
aiutare,to help,Verb
piangere,to cry,Verb
girare,to turn,Verb
levare,to lift,Verb
meritare,to deserve,Verb
dedicare,to devote,Verb
iniziare,to start,Verb
sorprendere,to surprise,Verb
trasformare,to commute,Verb
confessare,to confess,Verb
arrestare,to stop,Verb
ringraziare,to thank,Verb
riunire,to gather,Verb
volare,to fly,Verb
fondare,to found,Verb
guidare,to drive,Verb
ferire,to hurt,Verb
opporre,to oppose,Verb
procedere,to proceed,Verb
smettere,to stop,Verb
consentire,to allow,Verb
innamorarsi,to fall in love,Verb
organizzare,to organize,Verb
rifiutare,to reject,Verb
riportare,to report,Verb
dipendere,to depend,Verb
provvedere,to provide,Verb
trascinare,to drag,Verb
fumare,to smoke,Verb
scoppiare,to burst,Verb
soffrire,to suffer,Verb
recare,to cause,Verb
riguardare,to concern,Verb
rivolgere,to turn,Verb
tacere,to be silent,Verb
occorrere,to take,Verb
porre,to place,Verb
vincere,to win,Verb
svolgere,to perform,Verb
studiare,to study,Verb
crescere,to grow up,Verb
divenire,to become,Verb
gridare,to shout,Verb
dichiarare,to declare,Verb
contare,to count,Verb
giocare,to play,Verb
assistere,to assist,Verb
aumentare,to increase,Verb
lanciare,to launch,Verb
determinare,to determine,Verb
scherzare,to joke,Verb
elevare,to raise,Verb
promettere,to promise,Verb
scomparire,to disappear,Verb
trarre,to draw,Verb
distruggere,to destroy,Verb
sognare,to dream,Verb
appoggiare,to support,Verb
armare,to arm,Verb
celebrare,to celebrate,Verb
descrivere,to describe,Verb
resistere,to resist,Verb
bruciare,to burn,Verb
colpire,to hit,Verb
estendere,to extend,Verb
staccare,to remove,Verb
affrontare,to face up to,Verb
avanzare,to push forward,Verb
comporre,to compose,Verb
escludere,to exclude,Verb
figurare,to appear,Verb
insistere,to insist,Verb
il,the,Other
di,of,Other
e,is,Other
a,to,Other
un,a,Other
in,in,Other
che,that,Other
non,not,Other
si,yes,Other
da,from,Other
lo,the,Other
per,for,Other
con,with,Other
ma,but,Other
come,how,Other
su,up,Other
mi,me,Other
anche,also,Other
o,or,Other
io,I,Other
se,self,Other
perché,because,Other
li,there,Other
ci,us,Other
ne,neither,Other
lei,she,Other
ancora,yet,Other
tu,you,Other
lui,he,Other
senza,without,Other
bene,well,Other
cui,which,Other
chi,who,Other
già,already,Other
dopo,after,Other
uno,one,Other
noi,we,Other
dove,where,Other
qui,here,Other
no,no,Other
allora,then,Other
tra,between,Other
vi,you,Other
ora,now,Other
fra,between,Other
prima,before,Other
forse,perhaps,Other
sì,yup,Other
sotto,under,Other
voi,you,Other
fino,till,Other
oggi,today,Other
quasi,almost,Other
pure,also,Other
egli,he,Other
mentre,while,Other
contro,versus,Other
invece,instead,Other
esso,it,Other
là,there,Other
però,however,Other
né,neither,Other
subito,immediately,Other
verso,towards,Other
ciò,it,Other
ecco,here,Other
loro,their,Other
essa,it,Other
fuori,outside,Other
meno,less,Other
adesso,now,Other
niente,nothing,Other
cioè,that is,Other
male,bad,Other
nulla,nothing,Other
ah,ha,Other
oh,oh,Other
quindi,then,Other
appena,as soon as,Other
insieme,together,Other
dunque,therefore,Other
dentro,inside,Other
durante,during,Other
almeno,at least,Other
secondo,second,Other
anzi,rather,Other
oramai,now,Other
oltre,over,Other
intorno,around,Other
sopra,above,Other
dietro,behind,Other
davanti,in front of,Other
soltanto,only,Other
infatti,indeed,Other
qualcosa,something,Other
spesso,often,Other
accordo,agreement,Other
ieri,yesterday,Other
davvero,really,Other
lì,there,Other
qualcuno,someone,Other
avanti,come on,Other
assai,very,Other
presto,soon,Other
qua,here,Other
domani,tomorrow,Other
circa,about,Other
giù,down,Other
soprattutto,mostly,Other
nemmeno,not even,Other
grazie,thank you,Other
tuttavia,however,Other
appunto,just,Other
neppure,neither,Other
eh,huh,Other
veramente,really,Other
tardi,late,Other
insomma,in conclusion,Other
presso,at,Other
intanto,in the meantime,Other
lungo,long,Other
neanche,neither,Other
piuttosto,rather,Other
stasera,tonight,Other
perciò,therefore,Other
naturalmente,of course,Other
accanto,next,Other
eppure,but yet,Other
eccetera,etc,Other
finalmente,finally,Other
infine,finally,Other
poiché,as,Other
comunque,however,Other
dinanzi,before,Other
abbastanza,enough,Other
peccato,sin,Other
certamente,of course,Other
coloro,they,Other
attorno,about,Other
magari,maybe,Other
oppure,or,Other
inoltre,moreover,Other
indietro,back,Other
addosso,on,Other
addirittura,even,Other
finché,as long as,Other
perfino,even,Other
affatto,at all,Other
stamattina,this morning,Other
completamente,completely,Other
probabilmente,probably,Other
chissà,who knows,Other
ognuno,each one,Other
entro,within,Other
